Lyrics,Regueton
"Duvidava, não entendia Quando alguém me falou Suspirava, que agonia Pra sentir esse amor  Tiempo señor de todas las horas y dias Pasó sin ver Amarte de verdad Sentir la nostalgia Pero solo de ti, solo de ti  Agora eu já sei Quando falta a respiração É a prova que um coração Já não sabe mais viver sem você Ahora ya sé Que me falta siempre la razón Compreendi mejor en la emoción Lo que traigo aqui, muy dentro de mi Dentro de mi  Yo dudaba, no entendia Cuando alguien me avisó Suspiraba, todo el dia Para sentir ese amor  El tiempo, señor de todas las horas y dias Pasó sin ver Amarte de verdad Sentir la nostalgia Pero solo de ti, solo de ti  Ahora ya sé Cuando falta la respiración Es la prueba que un corazón Ya no sabe más, vivir sin ti Ahora ya sé Que me falta siempre la razón Compreendi mejor en la emoción Lo que traigo aqui, muy dentro de mi  Ahora ya sé Cuando falta la respiración Es la prueba que un corazón Ya no sabe más, vivir sin ti Ahora ya sé Que me falta siempre la razón Compreendi mejor en la emoción Lo que traigo aqui, muy dentro de mi Dentro de mi  Yo que dudaba, y no sabia Desse verdadeiro amor Nuestro amor, Llego! Yo dudaba, no entendia Yo dudaba, todo el dia, sí! Nuestro amor Verdadero amor    By @rafaelolipa ",False
"Yo lo que quero en esta vida Estar toda la vida amándote Es tu amor como una llama encendida Quema de placer  Yo lo que quero en esta vida Estar toda la vida amándote Es tu amor como una llama encendida Quema de placer  Yo ya le dije a Dios que no voy a dejar Voy a llevarte lejos a cualquier lugar Hago todo para no perderte  Areré, un lobby, un hobby, un love con usted Areré, un lobby, un hobby, un love con usted  Y cae, cae, cae, cae, cae, cae, cae para acá Todo, todo vas a lograr  Areré, un lobby, un hobby, un love con usted Areré, un lobby, un hobby, un love con usted ",False
"Tiritas pa este corazón partío. Tiritas pa este corazón partío,  Ya lo ves, que no hay dos sin tres, que la vida va y viene y que no se detiene... Y, qué sé yo, pero miénteme aunque sea, dime que algo queda entre nosotros dos, que en tu habitación nunca sale el sol, ni existe el tiempo, ni el dolor.  Llévame si quieres a perder, a ningún destino, sin ningún por qué.  Ya lo sé, que corazón que no ve es corazón que no siente, o corazón que te miente amor. Pero, sabes que en lo más profundo de mi alma sigue aquel dolor por creer en ti ¿qué fue de la ilusión y de lo bello que es vivir?  ¿Para qué me curaste cuando estaba herío si hoy me dejas de nuevo con el corazón partío?  ¿Quién me va a entregar sus emociones? ¿Quién me va a pedir que nunca le abandone? ¿Quién me tapará esta noche si hace frío? ¿Quién me va a curar el corazón partío? ¿Quién llenará de primaveras este enero, y bajará la luna para que juguemos? Dime, si tú te vas, dime cariño mío, ¿quién me va a curar el corazón partío?  Tiritas pa este corazón partío. Tiritas pa este corazón partío.  Dar solamente aquello que te sobra nunca fue compartir, sino dar limosna, amor. Si no lo sabes tú, te lo digo yo. Después de la tormenta siempre llega la calma. pero, sé que después de ti, después de ti no hay nada.  ¿Para qué me curaste cuando estaba herío Si hoy me dejas de nuevo con el corazón partío?  ¿Quién me va a entregar sus emociones? ¿Quién me va a pedir que nunca le abandone? ¿Quién me tapará esta noche si hace frío? ¿Quién me va a curar el corazón partío? ¿Quién llenará de primaveras este enero, y bajará la luna para que juguemos? Dime, si tú te vas, dime cariño mío, ¿quién me va a curar el corazón partío?  ¿Quién me va a entregar ... ",False
"[Ivete Sangalo] Olhei o dia inteiro para o mar Não vejo a hora de você chegar Pra ver seu sorriso bonito Sentir seu amor me abraçar  [Ivete Sangalo & Juanes] Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, Ô Quiero darte mí amor Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor  [Juanes] Pedi a lua para namorar Essa menina que me faz sonhar Pedi ao vento para me trazer Seu cheiro  [Ivete Sangalo] Te dou um beijo pra você ficar Te dou um mundo pra você me amar Eu quero tudo, tudo com você Meu nego  [Juanes & Ivete Sangalo] Eu te quero comigo pra sempre Yo solo quiero tu amor para siempre Eu não consigo mais me concentrar Em outra coisa que não seja amar, amar, amar, amar, amar  Te quiero  [Ivete Sangalo & Juanes] Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor  - Tell me something baby  [Ivete Sangalo & Juanes] Want you tell me all that you are saving I wanna tell you more than you are waiting Can you guess how long I've been waiting? Can you guess how much I love you, love you, love you?  [Juanes & Ivete Sangalo] Mas eu te quero comigo pra sempre Yo solo quiero tu amor para siempre Eu não consigo mais me concentrar Em outra coisa que não seja amar, amar, amar, amar, amar  Te quiero  - Bora Juanes, Colombia  [Ivete Sangalo & Juanes] Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor Ô, ô, ô, ô Mira como yo te quiero Ô, ô, ô, ô Quiero darte mí amor  [Ivete Sangalo] Ôohhh... Te quiero Yeahhh... Andar y para en ti amor  [Juanes] Te, te, te, te, te quiero  [Ivete Sangalo] Te quiero Juanes, te quiero Colombia  [Ivete Sangalo & Juanes] Ô, ô, ô, ô Darte  [Ivete Sangalo] Ladies and gentleman Juanes  [Juanes] Muichissimas gracias y adios ",False
"Fiesta en el gueto Tú te puedes acercar A mezclarte con mi mundo Tú te tienes que quedar  Hay una fiesta en el gueto Tú te puedes acercar A mezclarte con mi mundo Tú me tienes que cantar  Gente de todo color Y razas de toda fe Guitarra de rock & roll Batuca de candombé A bailar Pra ver como la tribu se va Mira como el suelo tiembla Madre negra nos mandó llamar  Avisó, avisó, avisó, avisó Que va a haber una fiesta Va haber Porque todo el gueto mandó avisar Que va a haber una fiesta Va haber Porque todo el gueto mandó avisar ",False
"Mi corazón esta sediento que puedo hacer si estas tan lejos me desnude pensandote y me quede dormida para ver si te soniaba  Tal vez nunca super decirte ni una palabra para que te quedaras Pero siempre me quede con tantas, tantas ganas, que ya no puedo mas...  No se como decir nunca te vayas! No se como vivir, sin tu calor. No se como decir, que tu eres mío... No se que voy a hacer, sin ti amor. No se como decir, que si no estás aqui me voy a morir!  Ojala fueras mi perfume para ternete siempre tan cerca de mi y que te quedaras en mi cama hasta que el sol quemara la ventana  Tal vez no te dije que te amaba mas que a nadie para que nunca te alejaras ay pero siempre me quede con tantas, tantas ganas que ya no puedo mas... ",False
"Mi suerte fue tan grande Y tú caíste del cielo Mi verdadera pasión Vivir la emoción Ganar tu corazón Pra ser feliz la vida entera  Es linda tu sonrisa El brillo de tus ojos Mi ángel querubín El dulce de mis besos Fuego de mis brazos Perfume de jazmín  Llegó a mi corazón Llegó en una canción Da igual que tú a mi no me queras Y luego me agarró Bailando me besó Su ritmo despertó a la tierra  La tierra, la tierra La tierra, despertó a la tierra ",False
"Agora que gemem mais pálidas nossas memórias Que há neve no televisor Agora que chove na sala e se apagam As velas do barco que me iluminou Agora que canta o tempo chorando seus versos E o mundo enfim despertou Agora perdido em um silêncio feroz Que quer desatar esses nós  Agora enxergamos direito E podemos nos ver por detrás do rancor Agora eu te digo de onde venho E dos caminhos que a paixão tomou Agora o destino é ermo E nos encontramos neste furacão Agora eu te digo de onde venho E do que é feito o meu coração...  Vengo del aire Que te secaba a ti la piel, mi amor Yo soy la calle, donde te lo encontraste a él No me compares, bajé a la tierra en un pincel por ti Imperdonable, que yo no me parezco a él Ni a él, ni a nadie  Ahora que saltan los gatos Buscando las sobras, maúllas la triste canción Ahora que tú te has quedao sin palabras Comparas, comparas, con tanta pasión  Ahora podemos mirarnos Sin miedo al reflejo en el retrovisor Ahora te enseño de dónde vengo Y las heridas que me dejó el amor Ahora no quiero aspavientos Tan sólo una charla tranquila entre nos Si quieres te cuento por qué te quiero Y si quieres cuento por qué no  Você não sabe Por onde andei depois de tudo, amor Eu sou a chave, da porta onde encontraste alguém Não me compares Não busque nela o olhar que dei a ti Imperdoável que eu não seja igual a ela Então não fale, que alguém te toca como eu toquei Que se acabe e que tu partas sem saber E para sempre, ninguém te toca como eu toquei Que se acabe... Yo soy tu alma tú eres mi aire!  Que nos separen, si es que pueden Que nos separen, que lo intenten Que nos separen, que lo intenten Yo soy tu alma y tú mi suerte Que nos separen, si es que pueden Que nos desclaven, que lo intenten Que nos separen, que lo intenten Yo soy tu alma y tú mi suerte ",False
"Quisiera ser el dueño del pacto de tu boca Quisiera ser el verbo al que no invitas A la fiesta de tu voz Te has preguntado alguna vez, di la verdad Si siente el viento, debajo de tu ropa Cuando te bañas en el mar desnuda Y te acaricia el cuerpo en la fiesta de tu piel  Se sentirá la sal, las olas Sentirá la arena, me da pena  Quisiera ser al aire que escapa de tu risa Quisiera ser la sal para escocerte en tus heridas Quisiera ser la sangre que envuelves con tu vida Quisiera ser el sueño que jamás compartirías Y el jardín de tu alegría, en la fiesta de tu piel Son esos besos que ni frío ni calor Pero si son de tu boca, también los quiero yo  Quisiera ser sincero Apuesto a que te pierdo En esta frase sólo pido tu perdón Por qué no escribo algo mejor, ay yo no sé Me has preguntado alguna vez Por preguntar, qué es lo que quiero Por qué motivo he dibujado el aire Que jugaba a ser silencio Si en realidad te entiendo o sólo nos queremos Y si a la noche como a mí le duele tanto Desear de lejos ",False
"Mi corazón sin dirección Volando solo por volar Sin saber donde llegar Soñando con encontrar Las estrellas Que hoy yo descubrí en tu mirar Las estrellas van a guiar  Si no te amase tanto así Tal vez perdiera el sueño Dentro de mí Yo vivo en la oscuridad Si no te amase tanto así Tal vez no vi las flores A donde fui Dentro de mi corazón  Hoy yo sé que te amé El viento de un temporal Más fue más, mucho más El tiempo del vendaval Los deseos En un beso Que jamás probé yo igual Las etrellas la señal  Si no te amase tanto así Tal vez perdiera el sueño Dentro de mí Yo vivo en la oscuridad Si no te amase tanto así Tal vez no vi las flores A donde fui Dentro de mi corazón ",False
