Lyrics,Regueton
"I am just a new boy, Stranger in this town., Where are all the good times?, Who's gonna show this stranger around?,Ooooh, I need a dirty woman.,Ooooh, I need a dirty girl., Will some woman in this desert land, Make me feel like a real man?, Take this rock and roll refugee,Oooh, babe set me free., Ooooh, I need a dirty woman., Ooooh, I need a dirty girl., Ooooh, I need a dirty woman., Ooooh, I need a dirty girl. ",False
"Eins, zwei, drei, alle!,Ooooh You cannot reach me now, Ooooh No matter how you try, Goodbye cruel world it's over, Walk on by,Sitting in a bunker here behind my wall, Waiting for the worms to come (Worms to come),In perfect isolation here behind my wall, Waiting for the worms to come (Worms to come),""Will the Audience convene at one fifteen, outside Brixton town hall, where, we will be going... "",Waiting to cut out the deadwood, Waiting to clean up the city, Waiting to follow the worms,Waiting to put on a black shirt, Waiting to weed out the weaklings, Waiting to smash in their windows and kick in their doors, Waiting for the final solution to strengthen the strain, Waiting to follow the worms,Waiting to turn on the showers and fire the ovens, Waiting for the queers and the coons and the reds and the Jews, Waiting to follow the worms,Would you like to see Britannia rule again, My friend, All you have to do is follow the worms,Would you like to send, Our coloured cousins, Home again my friend, All you need to do is follow the worms.,""The Worms will convene outside Brixton Town Hall. We'll be moving along, at about 12 o'clock down Stockwell Road. and then we'll cross at Abbot's Road, and we'll be covering some distance, twelve minutes to three we'll be moving along Lambeth Road towards Vauxhall Bridge. Now when we get to the other side of Vauxhall Bridge we're in Westminster Borough area. It's quite possible we may encounter some Jew boys and from now on we've got to be careful by the way we go. At eighteen after midday, we'll all be at Hyde Park! and there we'll continue?..."",Hammer, hammer... ",False
"All alone, or in twos, The ones who really love you, Walk up and down outside the wall, Some hand in hand, Some gathering together in bands, The bleeding hearts and the artists, Make their stand,And when they've given you their all, Some stagger and fall after all it's not easy, banging your heart against some mad buggers, Wall,""Isn't this where..."" ",False
"Into the distance a ribbon of black, Stretched to the point of no turning back, A flight of fancy on a wind swept field, Standing alone my senses reeled, A fatal attraction is holding me fast, How can I escape this irresistible grasp?,Can't keep my eyes from the circling sky, Tongue-tied and twisted, just an earth-bound misfit, I,Ice is forming on the tips of my wings, Unheeded warnings I thought, I thought of everything, No navigator to find my way home, Unladened, empty and turned to stone,A soul in tension that's learning to fly, Condition grounded but determined to try, Can't keep my eyes from the circling skies, Tongue-tied and twisted, just an earth-bound misfit, I,Above the planet on a wing and a prayer, My grubby halo, a vapor trail in the empty air, Across the clouds I see my shadow fly, Out of the corner of my watering eye, A dream unthreatened by the morning light, Could blow this soul right through the roof of the night,There's no sensation to compare with this, Suspended animation, a state of bliss, Can't keep my mind from the circling sky, Tongue-tied and twisted, just an earth-bound misfit, I ",False
"You got to be crazy, gotta have a real need, Got to sleep on your toes and when you're on the street, Got to be able to pick out the easy meat with your eyes closed, Then moving in silently down wind and out of sight, You got to strike when the moment is right without thinking,And after a while you can work on points for style, Like the club tie and the firm handshake, A certain look in the eye and an easy smile, You have to be trusted by the people that you lie to, So that when they turn their backs on you, You'll get the chance to put the knife in,You gotta keep one eye looking over your shoulder, You know it's going to get harder, harder and harder as you get older, Yeah, and in the end you'll pack up and fly down south, Hide your head in the sand, Just another sad old man, All alone and dying of cancer,And when you lose control you'll reap the harvest you have sown, And as the fear grows the bad blood slows and turns to stone, And it's too late to lose the weight you used to need to throw around, So have a good drown as you go down all alone, Dragged down by the stone,Gotta admit that I'm a little bit confused, Sometimes it seems to me as if I'm just being used, Gotta stay awake gotta try and shake off this creeping malaise, If I don't stand my own ground how can I find my way out of this maze,Deaf, dumb and blind you just keep on pretending, That everyone's expendable and no one has a real friend, And it seems to you the thing to do would be to isolate the winner, And everything's done under the sun, And you believe at heart everyone's a killer,Who was born in a house full of pain, Who was trained not to spit in the fan, Who was told what to do by the man, Who was broken by trained personnel, Who was fitted with collar and chain, Who was given a pat on the back, Who was breaking away from the pack, Who was only a stranger at home, Who was ground down in the end, Who was found dead on the phone, Who was dragged down by the stone, Who was dragged down by the stone ",False
"Long ago and far away in a different age, when i was a dumb young guy, fossilized photos of my life then, illustrate what an easy prey i must have been,Standing in the sun, idiot savant, something like a monument,I'm a dinosaur, somebody is digging my bones, I'm a dinosaur, somebody is digging my bones,Ignorance has alway been something i excel in, followed by naivete and pride, doesn't take a scientist to see how, any clever predator could have a piece of me,Standing in the sun, idiot savant, something like a monument,I'm a dinosaur, somebody is digging my bones, I'm a dinosaur,Oh, when i look back on the past, some wonder i'm not yet extinct, all the mistakes and bad judgements i made, nearly pushed me to the brink, it doesn't pay to be too nice, it's the one thing i have learned, still, i made my fossil bed, and now i toss and turn,I'm a dinosaur, somebody is digging my bones, I'm a dinosaur,I'm a dinosaur, somebody is digging my bones, I'm a dinosaur, somebody is digging my bones ",False
"A tiny flame inside my hand, A compromise I never planned, Unravel out the finer strands,And I'm looking at a blank page now, Should I fill it up with words somehow?,I whispered something in her ear, I bare my soul but she don't hear,The scratching of a mellotron it always seemed to make her cry, Well maybe she remembers us collecting space up in the sky,Nothing rises from my feet of clay, but it's OK, Red mist spreads across my fingertips, ardour slips,I lay her gently on my clothes, She will leave me yes I know,And I'm looking at a blank page now, Should I fill it up with words somehow?,The scratching of a mellotron it always seemed to make her cry, Well maybe she remembers us collecting space up in the sky,Nothing rises from my feet of clay, but it's OK, Red mist spreads across my fingertips, ardour slips,Don't look at me with your mother's eyes or your killer smile, Sing a lullaby,Don't look back into black, Don't let the memory or the sound drag you down, To end as friends; so painful, Don't look down; shut it down ",False
"I can't see your face, And I can't breathe your air, So I wonder why I get cold inside, When I hear your name,When we meet eye to eye, I will ask how and why, And when guilt has its way, One lesser reason to stay, And I will see her cry,Into the fire of our youth comes the devil again, And you feel your way, feel your way,Saw you standing nigh, In the corner, Told me that you had died, And I would die when my heart was empty, Become a ghost in perpetual void, And neglect all reasons why,  ",False
"I can't see the meaning of this life I'm leading, I try to forget you as you forgot me, This time there is nothing left for you to take, This is goodbye,Summers is miles and miles away, And no one would ask me to stay,And I should contemplate this change, To ease the pain, And I should step out of the rain, Turn away,Close to ending it all, I am drifting through the stages, Of the rapture born within this loss, Thoughts of death inside, Tear me apart from the core of my soul,Summer is miles and miles away, And no one would ask me to stay,And I should contemplate this change, To ease the pain, And I should step out of the rain, Turn away,At times the, Dark's fading slowly, But it never sustains, Would someone watch over me, In my time of need, Summer is miles and miles away, And no one would ask me to stay, And I should contemplate this change, To ease the pain, And I should step out of the rain, Turn away ",False
"Out on the road there are fireflies circling, Deep in the woods, where the lost souls hide, Over the hill there are men returning, Trying to find some peace of mind,Sleep my child Under the fog there are shadows moving, Don't be afraid, hold my hand, Into the dark there are eyelids closing, Buried alive in the shifting sands, Sleep my child Speak to me now and the world will crumble, Open a door and the moon will fall, All of your life all your memories, Go to your dreams, forget it all, Sleep my child Sponsored Links ",False
