Lyrics;Regueton

"[Denom]
Yo que quería, yo que pedía vida,
Se partió por la mitad lo que tenía y ahora es frio,
Te siento dentro mío, como el dolor, como una tenía,
Tragos de colonia, principios de histeria, no hay color,
Yo me elija a no llorar, aunque no sonría,
Tú no sabes que es sufrir, si por amar no perderías todo,
Yo no sé lo que es guardar solo recuerdos y aun así,
Fumo y lo jodo como, todo,
Luego no vengas llorar, lo escribo solo,
Aunque pensando en ella,
Con los ojos rojos de llorar y la mano en la polla,
Los problemas, los collares, mi epopeya,
No dejes que me destruya, Freya, ya.


[Estribillo: Denom] (x2)
Si aquí llueve y hiela, como puede ser,
Que afuera no sientan el frío,
Nunca fui como ellos, yo jamás lo quise ser,
Perdí mil veces sin saber qué hacer,
Sigo luchando por llenar ese vació,


[Ivo Incuerdo]
Si cae tormenta y truena, como puede ser,
Que allá afuera no sientan el ruido,
Nunca fui como ellos, jamás serán como yo,
Para encontrarme, cuantas veces me he perdido,
Sigo luchando por llenar el vació,
Como el del estómago, desayunando angustia,
La calle mustia, la gente triste por la lluvia,
Y yo disfrutando, viendo sus caras de mierda,
Siento escalofríos en agosto,
Dime cómo puedo estar a gusto,
En una sociedad donde todo son apariencias,
Incluso yo sonrió escondiendo,
Mi miseria al mundo,
Incuerdo soy yo,
Incuerdo no es otro, pero soy más de dos,
Cada fase a un estado, cada estado es dolor,
El diluvio deja oculto mi sol,
El arcoíris sale, pero ya no hay color,
El gris predomina en mi mundo exterior,
Veo la vida sin adornos, chico no creo en Dios,
Y si creyera lo diría, mientras me miras a los ojos,
Veo, solo veo al demonio,
Como quieres, que yo quiera, que lo solucione todo,
Si me mantengo la mirada y ni siquiera lloro,
Si me quiere mucha gente, pero me siento solo.


[Estribillo: Denom] (x2)
Si aquí llueve y hiela, como puede ser,
Que afuera no sientan el frío,
Nunca fui como ellos, yo jamás lo quise ser,
Perdí mil veces sin saber qué hacer,
Sigo luchando por llenar ese vació.";False

"[Estribillo: Denom] (x2)
Mueve, mueve, mueve,
Ya no hay tiempo que perder,
Como ese reloj se mueve,
Porque tiene que comer,
Mueve, mueve, mueve,
Pronto se empezó a mover,
Y aunque con el tiempo duele,
Siempre sale algo que hacer.


[Denom]
Rumores de motores, luces en el cielo
Y agua son agujas pero el hambre empuja a no tener miedo,
Dijo sin freno, hasta tocar el suelo,
El mar oscuro, frío es hielo,
Al fondo un faro: el brillo del dinero,
Las cajas en la arena pesan, marea baja,
No le rezan, se trabaja,
Jamás quiso encajar, guisó su flush,
Lo hizo rodajas, fichas,
Buscó entre la baraja su as de picas,
Micras, no se libra,
Cuando el hambre aprieta, sacas lo que necesitas,
Me dijo vaciando un Tigra,
Con la caleta llena, el móvil vibra,
Por pan se van los pájaros del nido,
Recuerda al que aguantó contigo sin pensar en cifras,
Aléjate del ruido, de las medias tintas,
Lucha tu camino pa' verlo distinto,
Y ya que la vida da lo que el tiempo te quita,
No dejes a la suerte lo que aún no está escrito.


[Estribillo: Fernandocosta & Denom]
Duele, duele, duele,
Que lo tengan que mover,
La carrera no los cansas,
Aquí nacimos pa' correr,
Llueve, llueve, llueve, llueve,
Ahora llueve sobre él,
Si el destino está ahí afuera,
No está escrito en un papel.

Mueve, mueve, mueve,
Ya no hay tiempo que perder,
Como ese reloj se mueve,
Porque tiene que comer,
Mueve, mueve, mueve,
Pronto se empezó a mover,
Y aunque con el tiempo duele,
Siempre sale algo que hacer.


[Fernandocosta]
Tanto tienes, tanto vales,
Más dinero, más maldades,
Cuántas veces lo hemos puesto todo y aun así no sale,
Los ríos bajan suaves, acabarán en mares,
Confío en mis quimeras, se llevan mis males,
Pasan noches fuera, niños con ojeras,
Está lloviendo money, no llevan cartera,
Los kilos en el maletero, la 9 en la guantera,
Se para el minutero, el auto acelera,
A las 7 donde siempre te espera el cliente,
No te pongas tenso, no seas impaciente,
Era su segunda vez, no se notó corriente,
Allí no había gente, había 3 agentes,
Se juntaron esa movie y los antecedentes,
Tantas excusas malas, tantas cuentas pendientes,
Era la última vez que vería a su gente,
Los demonios patinan por su mente.


[Estribillo: Fernandocosta & Denom]
Duele, duele, duele,
Que lo tengan que mover,
La carrera no los cansas,
Aquí nacimos pa' correr,
Llueve, llueve, llueve, llueve,
Ahora llueve sobre él,
Si el destino está ahí afuera,
No está escrito en un papel.

Mueve, mueve, mueve,
Ya no hay tiempo que perder,
Como ese reloj se mueve,
Porque tiene que comer,
Mueve, mueve, mueve,
Pronto se empezó a mover,
Y aunque con el tiempo duele,
Siempre sale algo que hacer.";False
"[Estribillo]
Y en esta noche, ¿Quién me arropará?
Si el invierno se instaló en mi alma,
Y yo con esta depresión,
¿Quién coño va a salir de la cama?
Y en esta noche, ¿Quién me arropará?
Si el invierno se instaló en mi alma,
Y yo con esta depresión,
¿Quién coño va a salir de la cama?


Abrázame, para sentir tu frío,
En todos mis sueños nos arrastra el río,
Los miedos bombardean mi corazón,
Y ningún alivio ocupó nunca el vacío,
Tanto por hacer y las ganas son nulas,
Le lloro a la luna, hay bruma en la ventana,
Tormenta mañana,
Mirando el azul de mis venas, el culto a la pena,
Toco su rostro con mis manos gélidas,
Y seco sus lágrimas,
Lame mi herida, hay un monstruo en mi pecho,
Que busca salida, parece mentira,
En la oscuridad del cuarto lleno el cenicero,
Con este negro intenso,
Pensamiento inmenso propenso al éxodo,
¿Dónde está mi yo y lo que ya ni recuerdo?


[Puente]
Cortocircuito en la luz de mi interior,
Pienso en el niño que nunca jamás volvió,
Este insomnio hace que me abrace el sol,
Gonna knew never die, I don't give a fuck,
Cortocircuito en la luz de mi interior,
Pienso en el niño que nunca jamás volvió,
Este insomnio hace que me abrace el sol,
Gonna knew never die, I don't give a fuck.


[Estribillo]
Y en esta noche, ¿Quién me arropará?
Si el invierno se instaló en mi alma,
Y yo con esta depresión,
Quién coño va a salir de la cama,
Y en esta noche, ¿Quién me arropará?
Si el invierno se instaló en mi alma,
Y yo con esta depresión,
Quién coño va a salir de la cama.";False
"Que nadie creía en leyends hasta que llegué yo,
Que no me hablen del rollo sus colegas,
Porque aquí to's se conocen y tú y yo apenas nos conocemos,
Me he dejado la voz, el tiempo basta pa' llegar a donde estamos,
Y ahora mira; aún les parezco nuevo,
Que se coman esas mierdas, promociones y esa cancha,
Veo choques, escucha, ya fui a por el mundo entero,
Puedes tirar como quieras, pero to' lo que he consegui'o me lo llevo,
¡Fuck! Disco de oro en los mejores hoods,
Espera mi año negro y que vuelva a cargar mi cruz,
Veo en traje de blanco, habla la muerte de tú a tú,
Que se lleve mi talento por diez años de salud,
Escribo el equilibrio a mi conciencia,
Sabiendo que yo ahí fuera tengo guerras que no vence la violencia,
Tras diez años de carga tomé unos meses de ausencia,
Invertí tan poco tiempo en mí que dudé mi existencia,
En serio, no es bueno si madrugas,
Yo sigo enamora'o de los ojos de mi locura,
Interesa'os de mierda me la sudan,
Con ellos no comparto esta fortuna,
Yo sigo en el mismo pensamiento de unos años,
No creo en el amor y el día que lo haga me autoengaño,
No te enamores de mi niña, porque te haré daño,
Porque yo no lo haré, nadie caza al lobo si no va al rebaño,
Me siento como un ángel despiada'o,
Tres traidores y dos a mi la'o,
Honrados más que jóvenes, la vida es un momento,
Y muchos abren la puerta antes de tiempo, y ciao!
Crecí sin estudios, aprendía de campana,
Chico de pocos lujos, con poco se conformaba,
Músico antes que persona, chica si yo te contara,
Cada vez que me hacías daño lo escribía y me la sudabas,
Fuck las masas,
Mira estos fracasos cómo me hablan,
Me abrazan, me acosan,
No va a tener amor aquel que no lo ha visto en casa,
Yo en paz con el de arriba mientras noto que mis cosas,
Réquiem a aquellos que me los quitaron,
El día que vi que marcharon,
Me sentí impotente, atrapado entre esposas,
Cómo enseñar quién soy al mundo,
Si a la que ven to's tus puntos débiles te los destrozan,
Soy un diablo santo, la vida es tanto,
Que si me falto me quedo sin voz,
Al final de este camino solo hallando una luz en blanco,
Y todo brillando, puedo sentirlo,
Viendo cómo Dios me la tiene guardada,
Por el centro había traidores, solo hay una bala,
¿Qué cojones pasa? ¿Por qué coño no dispara?
Y lo último que vi fue en el gatillo su mirada, y no....

"Me olvidé tomarme la pastilla otra vez,
Estará en tu mesita de noche o yo que sé,
Venga chica droga drógame, rogame,
Para echar el último del mes antes del amanecer,
Se me está haciendo tarde y tengo que currar,
